ID,Airport,City,Country
10339,Rotterdam Zuid,Rotterdam,Netherlands
10340,Zwijndrecht Railway Station,Zwijndrecht,Netherlands
10341,Roosendaal Railway Station,Roosendaal,Netherlands
10342,Antwerpen-Luchtbal,Antwerpen,Belgium
10343,Mechelen Railway Station,Mechelen,Belgium
10344,Gare de Schaerbeek,Brussels,Belgium
10345,Puhinui Railway Station,Auckland,New Zealand
10346,Hardy Reef,Airlie Beach,Australia
10347,Hamburg-Bergedorf Station,Hamburg,Germany
10348,Schwarzenbek Bahnhof,Schwarzenbek,Germany
10349,Buchen Bahnhof,Buchen,Germany
10350,Schwanheide Bahnhof,Schwanheide,Germany
10351,Boizenburg Bahnhof,Boizenburg,Germany
10352,Hagenow Bahnhof,Hagenow,Germany
10353,Ludwigslust Bahnhof,Ludwigslust,Germany
10354,Wittenberge Bahnhof,Wittenberge,Germany
10355,Neustadt Dosse Bahnhof,Neustadt,Germany
10356,Falkensee Bahnhof,Falkensee,Germany
10357,Spandau Bahnhof,Berlin,Germany
10358,Nauen Bahnhof,Nauen,Germany
10359,Westkreuz,Berlin,Germany
10360,Half Moon Bay Airport,Half Moon Bay,United States
10361,Woodside Sta.,Woodside,United States
10362,Ocean Beach Muni Metro Station,San Francisco,United States
10363,Hechi Jinchengjiang Airport,Hechi,China
10364,Sunshine Railway Station,Melbourne,Australia
10365,Plaza de los Virreyes Station,Buenos Aires,Argentina
10366,Beusselstrasse Station,Berlin,Germany
10367,Fulong Station,Fulong,Taiwan
10368,Nan-ao Station,Nan-ao,Taiwan
10369,Genthin Bahnhof,Genthin,Germany
10370,Kadina Airport,Kadina,Australia
10371,General WM J Fox Airfield,Lancaster,United States
10372,Kern Valley Airport,Kernville,United States
10373,Chapman River Wines Airstrip,Penneshaw,Australia
10374,Wilpena Pound Resort Airstrip,Wilpena,Australia
10375,Dupont-Lapeer,Lapeer  MI ,United States
10376,Osloer Strasse,Berlin,Germany
10377,Xinwuri Station,Taichung,Taiwan
10378,Coondewanna Airport,Coondewanna,Australia
10379,Gdynia Glowna,Gdynia,Poland
10380,Sopot Railway Station,Sopot,Poland
10381,Marlboro Gautrain Station,Johannesburg,South Africa
10382,Ershui Station,Ershui,Taiwan
10383,Tianzhong Station,Tianzhong,Taiwan
10384,Houli Station,Houli,Taiwan
10385,Sanyi Station,Sanyi,Taiwan
10386,Tongluo Station,Tongluo,Taiwan
10387,Shulin Station,Taipei,Taiwan
10388,Banqiao Station,Taipei,Taiwan
10389,Wanhua Station,Taipei,Taiwan
10390,Hukou Station,Hukou,Taiwan
10391,Yangmei Station,Yangmei,Taiwan
10392,Chenggong Station,Taichung,Taiwan
10393,Mets Willets Point Station,New York City,United States
10394,BWI Rail Station,Baltimore,United States
10395,Tysons Corner Station,Washington,United States
10396,Erkner Bahnhof,Erkner,Germany
10397,Pankow-Heinersdorf Bahnhof,Berlin,Germany
10398,Hohenschonhausen Bahnhof,Berlin,Germany
10399,Wuhlheide Bahnhof,Berlin,Germany
10400,Blankenfelde Bahnhof,Berlin,Germany
10401,Bad Belzig Bahnhof,Bad Belzig,Germany
10402,Cottbuser Bahnhof,Grossenhain,Germany
10403,Pirna Bahnhof,Pirna,Germany
10404,Hlavni Nadrazi,Decin,Czech Republic
10405,Usti nad Labem Hlavni Nadrazi,Usti nad Labem,Czech Republic
10406,Lovosice Hlavni Nad.,Lovosice,Czech Republic
10407,Roudnice nad Labem Hlavni Nad.,Roudnice nad Labem,Czech Republic
10408,Kralupy nad Vltavou Hlavni Nad.,Kralupy nad Vltavou,Czech Republic
10409,Neustadt Bahnhof,Dresden,Germany
10410,Furstenwalde Bahnhof,Furstenwalde,Germany
10411,Dworzec Kolejowy,Inowroclaw,Poland
10412,Bydgoszcz Glowna,Bydgoszcz,Poland
10413,Dworzec PKP,Tczew,Poland
10414,Dunbar Railway Station,Dunbar,United Kingdom
10415,Berwick-upon-Tweed Railway Station,Berwick-upon-Tweed,United Kingdom
10416,Chathill Railway Station,Chathill,United Kingdom
10417,Motherwell Railway Station,Motherwell,United Kingdom
10418,Wishaw Railway Station,Wishaw,United Kingdom
10419,Carluke Railway Station,Carluke,United Kingdom
10420,Haymarket Railway Station,Edinburgh,United Kingdom
10421,Carstairs Railway Station,Carstairs,United Kingdom
10422,Musselburgh Railway Station,Musselburgh,United Kingdom
10423,Wallyford Railway Station,Wallyford,United Kingdom
10424,Prestonpans Railway Station,Prestonpans,United Kingdom
10425,Longniddry Railway Station,Longniddry,United Kingdom
10426,Drem Railway Station,Drem,United Kingdom
10427,North Berwick Railway Station,North Berwick,United Kingdom
10428,Alnmouth Railway station,Alnmouth,United Kingdom
10429,Acklington Railway Station,Acklington,United Kingdom
10430,Widdrington Railway Station,Widdrington,United Kingdom
10431,Pegswood Railway Station,Pegswood,United Kingdom
10432,Morpeth Railway Station,Morpeth,United Kingdom
10433,Cramlington Railway Station,Cramlington,United Kingdom
10434,Manors Railway Station,Newcastle Upon Tyne,United Kingdom
10435,Chester-le-Street Railway Station,Chester-le-Street,United Kingdom
10436,Durham Railway Station,Durham,United Kingdom
10437,Darlington Railway Station,Darlington,United Kingdom
10438,Northallerton Railway Station,Northallerton,United Kingdom
10439,Thirsk Railway Station,Thirsk,United Kingdom
10440,Retford Railway Station,Retford,United Kingdom
10441,North Gate Railway Station,Newark,United Kingdom
10442,Grantham Railway Station,Grantham,United Kingdom
10443,Huntingdon Railway Station,Huntingdon,United Kingdom
10444,St. Neots Railway Station,St. Neots,United Kingdom
10445,Sandy Railway Station,Sandy,United Kingdom
10446,Biggleswade Railway Station,Biggleswade,United Kingdom
10447,Arlesey Railway Station,Arlesey,United Kingdom
10448,Hitchin Railway Station,Hitchin,United Kingdom
10449,Knebworth Railway Station,Knebworth,United Kingdom
10450,Welwyn North Railway Station,Welwyn,United Kingdom
10451,Welwyn Garden City Railway Station,Welwyn Garden City,United Kingdom
10452,Hatfield Railway Station,Hatfield,United Kingdom
10453,Welham Green Railway Station,Welham Green,United Kingdom
10454,Brookmans Park Railway Station,Brookmans Park,United Kingdom
10455,Hadley Wood Railway Station,Hadley Wood,United Kingdom
10456,New Barnet Railway Station,Barnet,United Kingdom
10457,Oakleigh Park Railway Station,Oakleigh Park,United Kingdom
10458,New Southgate Railway Station,Enfield,United Kingdom
10459,Alexandra Palace Railway Station,Haringey,United Kingdom
10460,Hornsey Railway Station,Haringey,United Kingdom
10461,Harringay Railway Station,Harringay,United Kingdom
10462,Ealing Broadway Station,Ealing,United Kingdom
10463,West Ealing Railway Station,West Ealing,United Kingdom
10464,Hanwell Railway Station,Hanwell,United Kingdom
10465,Southall Railway Station,Southall,United Kingdom
10466,Hayes and Harlington Railway Station,Hayes,United Kingdom
10467,Heathrow Junction Railway Station,Hillingdon,United Kingdom
10468,Gare TGV Haute-Picardie,Haute-Picardie,France
10469,Dagenham Dock Railway Station,Dagenham,United Kingdom
10470,Rainham Essex Railway Station,Rainham Essex,United Kingdom
10471,63rd - CTA Station,Chicago,United States
10472,Adam Benjamin Metro Center,Gary,United States
10473,Harpers Ferry Train Station,Harpers Ferry,United States
10474,Cumberland Amtrak Station,Cumberland,United States
10475,Connellsville Amtrak Station,Connellsville,United States
10476,Petersburg Amtrak,Petersburg,United States
10477,Rocky Mount Amtrak Station,Rocky Mount,United States
10478,Columbia Amtrak Station,Columbia,United States
10479,Savannah Amtrak Station,Savannah,United States
